Description,Price,Rating,ReviewCount,Url
"120mm Fan with 6000RPM, Antminer Fan for S9 L3+ S15 M3 S17 A8+ A9, 12V DC 2.1A Cooling Fan 1238 Double Ball Bearing GPU Cooler Fan Fast Heat Dissipation of Various Mining Machines",$16.99,4.0 out of 5 stars,36,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjc0MjgzMTcxODk3MTY4OjE2NjgxMDU5NTI6c3BfYnRmOjIwMDA4NTUzOTk5ODU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2F6000RPM-Antminer-Cooling-Dissipation-Machines%2Fdp%2FB09L62QDH4%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dgpu%26qid%3D1668105952%26sr%3D8-21-spons%26psc%3D1
"Power Supply Extension Cable with 90 Degree Right Angled PSU Connector Adapter (Single Cable, 8Pin GPU - White)",$12.99,3.8 out of 5 stars,22,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjc0MjgzMTcxODk3MTY4OjE2NjgxMDU5NTI6c3BfYnRmOjIwMDA5MjU1ODEzNzg5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FSupply-Extension-Degree-Connector-Adapter%2Fdp%2FB0B28GKN45%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dgpu%26qid%3D1668105952%26sr%3D8-22-spons%26psc%3D1
JMT PCI-E 1x to 16x Riser Card PCI-Express 1 to 4 Slot PCIe USB3.0 Splitter 1 to 4 Adapter GPU Riser Card for BTC Bitcoin Miner Mining (PCIE 1 to 4USB Card Blue),$23.50,4.2 out of 5 stars,30,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzEyMzI4NjE2NzQ2NjMxOjE2NjgxMDU5NTU6c3BfYXRmOjIwMDA1MjkxNTU5NTQ5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FJMT-PCI-Express-Adapter-Multiplier-Bitcoin%2Fdp%2FB092Z7RSM5%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgpu%26qid%3D1668105955%26sr%3D8-1-spons%26psc%3D1%26smid%3DA2LNZEPI7X9Y44
"MAXSUN GEFORCE GT 1030 2GB GDDR5 Video Graphics Card GPU Mini ITX Design, HDMI, DVI-D, Single Fan Cooling System",$106.39,4.2 out of 5 stars,487,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNzEyMzI4NjE2NzQ2NjMxOjE2NjgxMDU5NTU6c3BfYXRmOjIwMDA0ODgxMzE4NjU5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FMAXSUN-GEFORCE-GT-1030-Graphics%2Fdp%2FB08RD5VMNN%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgpu%26qid%3D1668105955%26sr%3D8-2-spons%26psc%3D1
"ZOTAC Gaming GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600H-10M",$399.50,4.6 out of 5 stars,"2,146",https://www.amazon.com/ZOTAC-GeForce-Graphics-IceStorm-ZT-A30600H-10M/dp/B08W8DGK3X/ref=sr_1_3?keywords=gpu&qid=1668105955&sr=8-3
"ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super Compact, ZT-T16520F-10L",$159.99,4.6 out of 5 stars,"2,638",https://www.amazon.com/ZOTAC-GeForce-128-bit-Graphics-ZT-T16520F-10L/dp/B0881YZJ45/ref=sr_1_4?keywords=gpu&qid=1668105955&sr=8-4
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Triple Fan Ampere OC Graphics Card (RTX 3060 Ventus 3X 12G OC),$379.99,4.8 out of 5 stars,505,https://www.amazon.com/MSI-RTX-3060-OC-12G/dp/B08WTFG5BX/ref=sr_1_5?keywords=gpu&qid=1668105955&sr=8-5
"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",$269.99,4.7 out of 5 stars,"2,848",https://www.amazon.com/EVGA-06G-P4-2068-KR-GeForce-Gaming-Backplate/dp/B083GGYNQ6/ref=sr_1_6?keywords=gpu&qid=1668105955&sr=8-6
"ZOTAC Gaming GeForce RTX™ 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30710J-10P",$649.50,4.6 out of 5 stars,452,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30710J-10P/dp/B09CML48LD/ref=sr_1_7?keywords=gpu&qid=1668105955&sr=8-7
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super VENTUS XS OC),$219.99,4.7 out of 5 stars,"1,698",https://www.amazon.com/MSI-GeForce-192-bit-Support-Graphics/dp/B07ZHDZ1K6/ref=sr_1_8?keywords=gpu&qid=1668105955&sr=8-8
